Startup Name,Industry,Male Presenters,Female Presenters,Original Ask Amount,Received Offer,Accepted Offer,Total Deal Amount
BluePineFoods,Food,2,1,50,1,1,75
BoozScooters,Vehicles/Electrical Vehicles,1,,40,1,1,40
HeartUpMySleeves,Beauty/Fashion,,1,25,1,1,25
TagzFoods,Food,2,,70,1,1,70
HeadAndHeart,Education,1,3,50,0,,
Agritourism,Agriculture,1,1,50,0,,
qZenseLabs,Food,,2,100,1,0,
Peeschute,Beauty/Fashion,1,,75,1,1,75
NOCD,Food,2,,50,1,1,20
CosIQ,Beauty/Fashion,1,1,50,1,1,50
JhaJiAchaar,Food,,2,50,1,1,56.6
Bummer,Beauty/Fashion,1,,75,1,1,75
RevampMoto,Vehicles/Electrical Vehicles,3,,100,1,1,100
HungryHead,Food,2,,50,0,,
ShrawaniEngineers,Beauty/Fashion,1,1,20,0,,
SkippiIcePops,Food,1,1,45,1,1,100
Menstrupedia,Education,1,1,50,1,1,50
Hecoll,Beauty/Fashion,,1,100,0,,
RaisingSuperstars,Education,1,1,100,1,1,100
Torch-it,Education,1,,75,1,0,
Kavach,Education,1,1,5,1,1,5
LaKheerDeli,Food,1,2,50,1,0,
BeyondSnack,Food,1,,50,1,1,50
VivalyfInnovations,Medical/Health,1,1,56,1,1,56
MotionBreeze,Vehicles/Electrical Vehicles,4,,30,1,1,30
Altor,Manufacturing,4,,50,1,1,50
Ariro,Manufacturing,1,1,50,1,1,50
KabiraHandmad,Food,1,1,100,1,0,
Nuutjob,Beauty/Fashion,,2,25,1,1,25
Meatyour,Food,3,,30,1,1,30
EventBeep,Education,2,1,30,1,1,30
Gopal's56,Food,1,,30000,0,,
ARRCOATSurfaceTextures,Manufacturing,3,,50,1,1,50
Farda,Beauty/Fashion,1,1,30,1,1,30
Auli,Beauty/Fashion,,1,75,1,1,75
SweeDesi,Food,1,1,40,0,,
LOKA,Technology/Software,1,,40,1,1,40
Annie,Education,3,1,30,1,1,105
Carragreen,Manufacturing,,2,50,1,1,50
TheYarnBazaar,Manufacturing,1,,50,1,1,100
TheRenalProject,Medical/Health,1,,100,1,1,100
MorrikoPureFoods,Food,2,1,100,1,0,
GoodGoodPiggy,Technology/Software,,2,45,0,,
HammerLifestyle,Electronics,3,,30,1,1,100
PNT,Technology/Software,2,,50,1,1,25
Cocofit,Food,3,,0.00005,1,1,0.00005
BambooIndia,Manufacturing,1,1,80,1,1,50
FlyingFur,Animal/Pets,2,1,75,0,,
BeyondWater,Food,1,1,75,1,1,75
Let'sTry,Food,1,3,45,1,1,45
FindYourKicksIndia,Beauty/Fashion,3,,50,1,1,50
AasVidyalaya,Education,1,1,150,1,1,150
Outbox,Services,1,1,50,0,,
RoadBounce,Technology/Software,1,,80,1,1,80
Mommy'sKitchen,Food,2,1,90,0,,
IndiaHempandCo,Food,,1,50,1,0,
Otua,Vehicles/Electrical Vehicles,2,,100,1,1,1
Anthyesti,Services,,1,50,0,,
Ethik,Manufacturing,2,,15,0,,
WeSTOCK,Animal/Pets,2,,50,1,1,60
KetoIndia,Food,1,,150,1,0,
Magiclock,Hardware,3,,120,0,,
TheStatePlate,Food,1,1,65,1,1,40
Bakarmax,Technology/Software,2,,35,0,,
INACAN,Food,3,,50,1,1,100
Get-A-Whey,Food,1,1,100,1,1,100
Sid07Designs,Hardware,1,,47,1,1,25
TheQuirkyNaari,Beauty/Fashion,,1,35,1,1,35
HairOriginals,Beauty/Fashion,3,,60,1,1,60
Poo-de-Cologne,Beauty/Fashion,,1,75,0,,
Moonshine,Food,2,,80,1,0,
Falhari,Food,3,,50,1,0,
NamhyaFoods,Food,,1,100,1,1,50
UrbanMonkey,Beauty/Fashion,1,,100,1,0,
GuardianGears,Manufacturing,1,1,30,1,0,
ModernMyth,Beauty/Fashion,1,1,75,0,,
TheSassBar,Beauty/Fashion,,1,40,1,1,50
KGAgrotech,Agriculture,2,,30,1,1,10
NuskhaKitchen,Food,1,1,20,0,,
PawsIndia,Animal/Pets,,1,50,1,1,50
SunfoxTechnologies,Medical/Health,4,,100,1,1,100
Alpino,Food,4,,150,1,0,
IsakFragrances,Beauty/Fashion,,1,50,1,1,50
JulaaAutomation,Manufacturing,3,,50,0,,
RarePlanet,Manufacturing,2,,65,1,1,65
ThekaCoffee,Food,1,,50,0,,
WattTechnovations,Medical/Health,1,,0.00101,1,1,0.00101
AlisteTechnologies,Technology/Software,6,,60,1,0,
InsuranceSamadhan,Services,2,1,100,1,1,100
HumpyA2,Food,2,1,75,1,1,100
KunafaWorld,Food,1,1,90,0,,
GoldSafeSolutions,Manufacturing,2,,50,1,1,50
WakaoFoods,Food,1,,75,1,1,75
PDDFalcon,Manufacturing,1,1,75,1,0,
PlayBoxTV,Services,2,,100,1,0,
Sippline,Manufacturing,1,,75,0,,
KabaddiAdda,Sports,2,,80,1,1,80
ShadesofSpring,Services,1,1,300,0,,
Scholify,Education,1,,50,0,,
Scrapshala,Manufacturing,,2,50,0,,
Sabjikothi,Manufacturing,1,1,60,0,,
AyuRythm,Medical/Health,3,,75,1,1,75
Astrix,Manufacturing,1,1,75,0,,
TheaandSid,Services,,2,80,0,,
ExperentialEtc,Technology/Software,2,,200,1,0,
GrowFitter,Technology/Software,2,,50,1,1,50
C3Med-Tech,Medical/Health,1,1,35,1,0,
ColourMeMad-CMM,Beauty/Fashion,1,1,40,1,1,40
Mavi's,Food,1,1,40,0,,
TweekLabs,Sports,4,,40,1,1,60
Proxgy,Technology/Software,2,,35,1,1,100
NomadFoodProject,Food,2,,40,1,1,40
TweeInOne,Beauty/Fashion,,1,30,0,,
GreenProtein,Food,1,1,60,1,0,
On2Cook,Food,1,,100,0,,
JainShikanji,Food,1,,40,1,1,40
Woloo,Technology/Software,1,2,50,1,0,
ElcareIndia,Medical/Health,2,1,100,0,,
SneaKare,Beauty/Fashion,1,,20,1,1,21
FrenchCrown,Beauty/Fashion,2,,150,1,0,
StoreMyGoods,Services,2,1,100,1,1,50
Devnagri,Technology/Software,2,,100,1,0,
Hoovu,Services,,2,80,1,1,100
Dorji,Food,2,,30,1,1,30
Recode,Beauty/Fashion,2,,100,0,,
VeryMuchIndian,Beauty/Fashion,1,1,50,1,1,50
WatchoutWearables,Electronics,2,,200,1,1,100
SoupX,Food,2,,75,1,1,50
ATMOSPHERE,Food,,2,75,1,0,
Stage,Entertainment,3,,300,1,1,150
Girgit,Beauty/Fashion,1,1,20,1,1,20
GearHeadMotors,Vehicles/Electrical Vehicles,2,,75,1,1,100
PatilKaki,Food,2,1,40,1,1,40
Brandsdaddy,Manufacturing,1,1,70,1,1,35
Winston,Beauty/Fashion,1,1,100,1,1,100
Flatheads,Beauty/Fashion,1,,75,1,0,
OrganicSmokes,Beauty/Fashion,3,,100,0,,
TeaFit,Liquor/Beverages,2,1,50,1,1,50
Haqdarshak,Services,1,1,100,1,1,100
Bhaskar'sPuranpoliGhar,Food,3,,75,0,,
GunjanAppsStudios,Technology/Software,1,1,250,0,,
TheSimplySalad,Food,1,1,30,1,1,30
AyuSynk,Medical/Health,3,,100,1,1,50
AtypicalAdvantage,Technology/Software,1,,30,1,1,30
HouseOfChikankari,Beauty/Fashion,,2,75,1,1,75
MagicOfMemories,Beauty/Fashion,,1,25,0,,
Paradyes,Beauty/Fashion,1,1,65,1,1,65
Nestroots,Furnishing/Household,,1,50,1,1,50
Zillionaire,Beauty/Fashion,2,,50,1,1,100
Credmate,Technology/Software,2,,50,0,,
Freebowler,Sports,2,,75,1,1,25
ABCSports&Fitness,Sports,2,,40,1,1,40
Primebook,Technology/Software,4,,75,1,1,75
DailyDump,Manufacturing,1,1,80,1,1,30
GharSoaps,Beauty/Fashion,2,,60,1,1,60
Janitri,Medical/Health,1,,100,1,1,100
JaipurWatchCompany,Manufacturing,1,,50,0,,
InsideFPV,Manufacturing,2,1,75,1,1,75
Angrakhaa,Beauty/Fashion,,2,40,1,1,40
Diabexy,Food,1,1,150,1,0,
Kyari,Manufacturing,1,1,51,1,1,51
MoppFoods,Food,1,1,75,1,1,75
Econiture,Furnishing/Household,4,,50,0,,
Dobiee,Food,2,,72,1,1,72
FastBeetle,Services,2,,90,1,1,90
Pflow,Medical/Health,1,1,60,1,1,60
VSMani,Food,3,,60,1,1,19
Sepal,Manufacturing,2,,50,1,1,50
Solinas,Services,3,1,90,1,1,90
AvimeeHerbal,Beauty/Fashion,3,2,280,1,0,
eyenic,Beauty/Fashion,2,,75,0,,
ekatra,Furnishing/Household,,2,40,1,1,20
Raasa,Food,1,,50,1,1,50
NeoMotion,Manufacturing,3,,100,1,1,100
licksters,Food,1,1,50,1,1,25
Sayonara,Beauty/Fashion,1,,100,0,,
PMV,Vehicles/Electrical Vehicles,1,,100,1,0,
SpiceStory,Food,2,1,70,1,1,70
